Address_Line_1,Address_Line_2,Address_Line_3,Address_Line_4,Address_Line_5,POSTCODE,Street_In_Postcode
UNIT 1 LLOYDS COURT,CLEVELAND STREET,DARLINGTON,nan,nan,DL1 2PB,No
UNIT 1 LLOYDS COURT,CLEVELAND STREET,DARLINGTON,nan,nan,DL1 2PB,No
UNIT 1 LLOYDS COURT,CLEVELAND STREET,DARLINGTON,nan,nan,DL1 2PB,Yes
3,CAUTLEY ROAD,nan,nan,SOUTHWOLD,IP18 6DD,Yes
BALFOUR BEATTY RAIL OFFICES,FELIXSTOWE RD,nan,LONDON,nan,SE2 9RN,No
UNIT 2,LUSTRUM AVENUE,STOCKTON ON TEES,nan,nan,TS18 2RB,Yes
41 GASKELL AVENUE,SOUTH SHIELDS,nan,nan,nan,NE34 9TQ,No
9 Scossels,Glemsford,SUDBURY,nan,nan,CO10 7UR,No
66 SHOP - UNIT 11,HUDSON STREET,NORTH SHIELDS,nan,nan,NE30 1DL,Yes
SHOP,1B MAIN STREET,CRAWCROOK,RYTON,nan,NE40 4TX,No
TAP SUPPLY - ST NICHOLAS CEMETERY,NUNS MOOR ROAD,NEWCASTLE UPON TYNE,nan,nan,NE4 9AU,Yes
Unit 2,Top Angel,Buckingham Industrial Estate,BUCKINGHAM,MK18 1TH,MK18 1TH,No
OFFICE R/O 71,HIGH STREET,CANVEY ISLAND,nan,nan,SS8 7RD,Yes
FINNINGLEY QUARRY,CROFT ROAD,FINNINGLEY,DONCASTER,nan,DN9 3DW,Yes
FINNINGLEY QUARRY,CROFT ROAD,FINNINGLEY,DONCASTER,nan,DN9 3DW,No
FINNINGLEY QUARRY,CROFT ROAD,FINNINGLEY,DONCASTER,nan,DN9 3DW,No
LAND USED FOR STORAGE ADJ 2-3,SUNRISE LANE,HOUGHTON LE SPRING,nan,nan,DH4 5AL,Yes
MOORFIELD ROAD,DUXFORD,CAMBRIDGE,CB22 4PS,nan,CB22 4PS,Yes
27 High Street,MABLETHORPE,nan,nan,nan,LN12 1AF,No
27 High Street,MABLETHORPE,nan,nan,nan,LN12 1AF,No
7 MIDDLE STREET,CORRINGHAM,GAINSBOROUGH,DN21 5QR,nan,DN21 5QR,No
BEDFORD HOUSE,112 LINTHORPE ROAD,MIDDLESBROUGH,nan,nan,TS1 2JR,No
UNIT 3,BLACKSTONE ROAD,STUKELEY MEADOWS IND. ESTATE,HUNTINGDON,PE29 6EF,PE29 6EF,Yes
UNIT 3,BLACKSTONE ROAD,STUKELEY MEADOWS IND. ESTATE,HUNTINGDON,PE29 6EF,PE29 6EF,No
UNIT 13 LAND NORTH OF JOHNSTON SWEEPERS," CASTLE ROAD, SITTINGBOURNE",KENT,nan,nan,ME10 3JP,No
UNIT I WALLAW BUILDINGS,WOODHORN ROAD,ASHINGTON,nan,nan,NE63 9UX,Yes
UNIT F4,MERCIA WAY,FOXHILLS INDUSTRIAL ESTATE,SCUNTHORPE,DN15 8RE,DN15 8RE,Yes
METER- OLD CLUB PREM  & RUSSELS PL.,NORTH TERRACE,WEST ALLOTMENT,NEWCASTLE UPON TYNE,nan,NE27 0DN,No
